ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
ana.anic@gmail.com,DOUBLE,2024-06-06,800.0
milica.milic@gmail.com,TWIN,2024-06-06,785.0
milica.milic@gmail.com,TWIN,2024-06-06,785.0
milica.milic@gmail.com,TWIN,2024-06-06,785.0
ana.anic@gmail.com,TWIN,2024-06-06,468.0
ana.anic@gmail.com,TWIN,2024-06-06,477.0
ana.anic@gmail.com,SINGLE,2024-06-06,1210.0
milica.milic@gmail.com,SINGLE,2024-06-06,1070.0
ana.anic@gmail.com,SINGLE,2024-06-06,1166.0
milica.milic@gmail.com,SINGLE,2024-06-06,1070.0
ana.anic@gmail.com,TRIPLE,2024-06-06,654.0
ana.anic@gmail.com,TRIPLE,2024-06-06,630.0
milica.milic@gmail.com,TWIN,2024-06-08,156.0
ana.anic@gmail.com,TWIN,2024-06-27,628.0
